MARCA_BENEFICIO;TIPO_CUPON;CODIGO_CUPON;ID_CATEGORIA_BENEFICIO;FECHA_REGISTRO;FECHA_VENCIMIENTO;DESCRIPCION_CUPON;URL_LOGO;TITULO;DESCRIPCION_2;TEXTO_BOTON;URL_BOTON;URL_VIDEO
AUTOPARK;2;BBBB11110005;3;2021-02-08 00:00:00;2021-03-31 00:00:00;CUÁNDO TU TE VAS, TU AUTO SE QUEDA EN LAS MEJORES MANOS;;CUÁNDO TU TE VAS, TU AUTO SE QUEDA EN LAS MEJORES MANOS; - Ingresa a www.autopark.cl - Realiza una reserva de a lo menos 2 días. - Al momento de pagar utiliza el código entregado por Forum para aplicar el descuento;Ingresa al sitio web;www.autopark.cl;
AUTOPARK;2;BBBB11110006;3;2021-02-08 00:00:00;2021-03-31 00:00:00;CUÁNDO TU TE VAS, TU AUTO SE QUEDA EN LAS MEJORES MANOS;;CUÁNDO TU TE VAS, TU AUTO SE QUEDA EN LAS MEJORES MANOS; - Ingresa a www.autopark.cl - Realiza una reserva de a lo menos 2 días. - Al momento de pagar utiliza el código entregado por Forum para aplicar el descuento;Ingresa al sitio web;www.autopark.cl;
AUTOPARK;2;BBBB11110007;3;2021-02-08 00:00:00;2021-03-31 00:00:00;CUÁNDO TU TE VAS, TU AUTO SE QUEDA EN LAS MEJORES MANOS;;CUÁNDO TU TE VAS, TU AUTO SE QUEDA EN LAS MEJORES MANOS; - Ingresa a www.autopark.cl - Realiza una reserva de a lo menos 2 días. - Al momento de pagar utiliza el código entregado por Forum para aplicar el descuento;Ingresa al sitio web;www.autopark.cl;
AUTOPARK;2;BBBB11110008;3;2021-02-08 00:00:00;2021-03-31 00:00:00;CUÁNDO TU TE VAS, TU AUTO SE QUEDA EN LAS MEJORES MANOS;;CUÁNDO TU TE VAS, TU AUTO SE QUEDA EN LAS MEJORES MANOS; - Ingresa a www.autopark.cl - Realiza una reserva de a lo menos 2 días. - Al momento de pagar utiliza el código entregado por Forum para aplicar el descuento;Ingresa al sitio web;www.autopark.cl;
AUTOPARK;2;BBBB11110009;3;2021-02-08 00:00:00;2021-03-31 00:00:00;CUÁNDO TU TE VAS, TU AUTO SE QUEDA EN LAS MEJORES MANOS;;CUÁNDO TU TE VAS, TU AUTO SE QUEDA EN LAS MEJORES MANOS; - Ingresa a www.autopark.cl - Realiza una reserva de a lo menos 2 días. - Al momento de pagar utiliza el código entregado por Forum para aplicar el descuento;Ingresa al sitio web;www.autopark.cl;
AUTOPARK;2;BBBB11110010;3;2021-02-08 00:00:00;2021-03-31 00:00:00;CUÁNDO TU TE VAS, TU AUTO SE QUEDA EN LAS MEJORES MANOS;;CUÁNDO TU TE VAS, TU AUTO SE QUEDA EN LAS MEJORES MANOS; - Ingresa a www.autopark.cl - Realiza una reserva de a lo menos 2 días. - Al momento de pagar utiliza el código entregado por Forum para aplicar el descuento;Ingresa al sitio web;www.autopark.cl;
EUROPCAR;1;AAAA11110000;5;2021-02-08 00:00:00;2021-03-31 00:00:00;VIAJA A LO EUROPEO CON DESCUENTOS FORUM;;VIAJA A LO EUROPEO CON DESCUENTOS FORUM; - Ingresa a www.europcar.cl - Realiza la reserva de tu servicio - Al momento de pagar utiliza el código entregado por Forum para aplicar el descuento;Ingresa al sitio web;www.europcar.cl;
EUROPCAR;1;AAAA11110001;5;2021-02-08 00:00:00;2021-03-31 00:00:00;VIAJA A LO EUROPEO CON DESCUENTOS FORUM;;VIAJA A LO EUROPEO CON DESCUENTOS FORUM; - Ingresa a www.europcar.cl - Realiza la reserva de tu servicio - Al momento de pagar utiliza el código entregado por Forum para aplicar el descuento;Ingresa al sitio web;www.europcar.cl;
EUROPCAR;1;AAAA11110002;5;2021-02-08 00:00:00;2021-03-31 00:00:00;VIAJA A LO EUROPEO CON DESCUENTOS FORUM;;VIAJA A LO EUROPEO CON DESCUENTOS FORUM; - Ingresa a www.europcar.cl - Realiza la reserva de tu servicio - Al momento de pagar utiliza el código entregado por Forum para aplicar el descuento;Ingresa al sitio web;www.europcar.cl;
EUROPCAR;1;AAAA11110003;5;2021-02-08 00:00:00;2021-03-31 00:00:00;VIAJA A LO EUROPEO CON DESCUENTOS FORUM;;VIAJA A LO EUROPEO CON DESCUENTOS FORUM; - Ingresa a www.europcar.cl - Realiza la reserva de tu servicio - Al momento de pagar utiliza el código entregado por Forum para aplicar el descuento;Ingresa al sitio web;www.europcar.cl;
EUROPCAR;1;AAAA11110004;5;2021-02-08 00:00:00;2021-03-31 00:00:00;VIAJA A LO EUROPEO CON DESCUENTOS FORUM;;VIAJA A LO EUROPEO CON DESCUENTOS FORUM; - Ingresa a www.europcar.cl - Realiza la reserva de tu servicio - Al momento de pagar utiliza el código entregado por Forum para aplicar el descuento;Ingresa al sitio web;www.europcar.cl;
EUROPCAR;1;AAAA11110005;5;2021-02-08 00:00:00;2021-03-31 00:00:00;VIAJA A LO EUROPEO CON DESCUENTOS FORUM;;VIAJA A LO EUROPEO CON DESCUENTOS FORUM; - Ingresa a www.europcar.cl - Realiza la reserva de tu servicio - Al momento de pagar utiliza el código entregado por Forum para aplicar el descuento;Ingresa al sitio web;www.europcar.cl;
EUROPCAR;1;AAAA11110006;5;2021-02-08 00:00:00;2021-03-31 00:00:00;VIAJA A LO EUROPEO CON DESCUENTOS FORUM;;VIAJA A LO EUROPEO CON DESCUENTOS FORUM; - Ingresa a www.europcar.cl - Realiza la reserva de tu servicio - Al momento de pagar utiliza el código entregado por Forum para aplicar el descuento;Ingresa al sitio web;www.europcar.cl;
EUROPCAR;1;AAAA11110007;5;2021-02-08 00:00:00;2021-03-31 00:00:00;VIAJA A LO EUROPEO CON DESCUENTOS FORUM;;VIAJA A LO EUROPEO CON DESCUENTOS FORUM; - Ingresa a www.europcar.cl - Realiza la reserva de tu servicio - Al momento de pagar utiliza el código entregado por Forum para aplicar el descuento;Ingresa al sitio web;www.europcar.cl;
EUROPCAR;1;AAAA11110008;5;2021-02-08 00:00:00;2021-03-31 00:00:00;VIAJA A LO EUROPEO CON DESCUENTOS FORUM;;VIAJA A LO EUROPEO CON DESCUENTOS FORUM; - Ingresa a www.europcar.cl - Realiza la reserva de tu servicio - Al momento de pagar utiliza el código entregado por Forum para aplicar el descuento;Ingresa al sitio web;www.europcar.cl;
EUROPCAR;1;AAAA11110009;5;2021-02-08 00:00:00;2021-03-31 00:00:00;VIAJA A LO EUROPEO CON DESCUENTOS FORUM;;VIAJA A LO EUROPEO CON DESCUENTOS FORUM; - Ingresa a www.europcar.cl - Realiza la reserva de tu servicio - Al momento de pagar utiliza el código entregado por Forum para aplicar el descuento;Ingresa al sitio web;www.europcar.cl;
EUROPCAR;1;AAAA11110010;5;2021-02-08 00:00:00;2021-03-31 00:00:00;VIAJA A LO EUROPEO CON DESCUENTOS FORUM;;VIAJA A LO EUROPEO CON DESCUENTOS FORUM; - Ingresa a www.europcar.cl - Realiza la reserva de tu servicio - Al momento de pagar utiliza el código entregado por Forum para aplicar el descuento;Ingresa al sitio web;www.europcar.cl;
TRANSVIP;8;SIN_CUPON;6;2021-01-01 00:00:00;2021-12-31 00:00:00;LO QUE NOS MUEVE ES QUE TODOS TUS VIAJES SEAN UNA EXPERIENCIA VIP;;LO QUE NOS MUEVE ES QUE TODOS TUS VIAJES SEAN UNA EXPERIENCIA VIP; -Ingresa a transvip.cl o descarga la app de Transvip. -Usa el cupón entregado por Forum al hacer tu reserva. -Pide taxis en la ciudad, aeropuerto o encomiendas a un menor precio.;Reserva aquí;https://www.transvip.cl/;
RACASISTENCIA;3;CCCC11110000;7;2021-02-08 00:00:00;2021-03-31 00:00:00;PARA QUE NADA TE DETENGA, CON RAC ASISTENCIA TE DAMOS UNA SOLUCIÓN;;PARA QUE NADA TE DETENGA, CON RAC ASISTENCIA TE DAMOS UNA SOLUCIÓN; -Ingresa Al link del servicio que necesites -Ingresa los datos solicitados -Al momento de pagar utiliza el código entregado por Forum para aplicar el descuento;;;
RACASISTENCIA;3;CCCC11110001;7;2021-02-08 00:00:00;2021-03-31 00:00:00;PARA QUE NADA TE DETENGA, CON RAC ASISTENCIA TE DAMOS UNA SOLUCIÓN;;PARA QUE NADA TE DETENGA, CON RAC ASISTENCIA TE DAMOS UNA SOLUCIÓN; -Ingresa Al link del servicio que necesites -Ingresa los datos solicitados -Al momento de pagar utiliza el código entregado por Forum para aplicar el descuento;;;
RACASISTENCIA;3;CCCC11110002;7;2021-02-08 00:00:00;2021-03-31 00:00:00;PARA QUE NADA TE DETENGA, CON RAC ASISTENCIA TE DAMOS UNA SOLUCIÓN;;PARA QUE NADA TE DETENGA, CON RAC ASISTENCIA TE DAMOS UNA SOLUCIÓN; -Ingresa Al link del servicio que necesites -Ingresa los datos solicitados -Al momento de pagar utiliza el código entregado por Forum para aplicar el descuento;;;
RACASISTENCIA;3;CCCC11110003;7;2021-02-08 00:00:00;2021-03-31 00:00:00;PARA QUE NADA TE DETENGA, CON RAC ASISTENCIA TE DAMOS UNA SOLUCIÓN;;PARA QUE NADA TE DETENGA, CON RAC ASISTENCIA TE DAMOS UNA SOLUCIÓN; -Ingresa Al link del servicio que necesites -Ingresa los datos solicitados -Al momento de pagar utiliza el código entregado por Forum para aplicar el descuento;;;
RACASISTENCIA;3;CCCC11110004;7;2021-02-08 00:00:00;2021-03-31 00:00:00;PARA QUE NADA TE DETENGA, CON RAC ASISTENCIA TE DAMOS UNA SOLUCIÓN;;PARA QUE NADA TE DETENGA, CON RAC ASISTENCIA TE DAMOS UNA SOLUCIÓN; -Ingresa Al link del servicio que necesites -Ingresa los datos solicitados -Al momento de pagar utiliza el código entregado por Forum para aplicar el descuento;;;
RACASISTENCIA;3;CCCC11110005;7;2021-02-08 00:00:00;2021-03-31 00:00:00;PARA QUE NADA TE DETENGA, CON RAC ASISTENCIA TE DAMOS UNA SOLUCIÓN;;PARA QUE NADA TE DETENGA, CON RAC ASISTENCIA TE DAMOS UNA SOLUCIÓN; -Ingresa Al link del servicio que necesites -Ingresa los datos solicitados -Al momento de pagar utiliza el código entregado por Forum para aplicar el descuento;;;
RACASISTENCIA;3;CCCC11110006;7;2021-02-08 00:00:00;2021-03-31 00:00:00;PARA QUE NADA TE DETENGA, CON RAC ASISTENCIA TE DAMOS UNA SOLUCIÓN;;PARA QUE NADA TE DETENGA, CON RAC ASISTENCIA TE DAMOS UNA SOLUCIÓN; -Ingresa Al link del servicio que necesites -Ingresa los datos solicitados -Al momento de pagar utiliza el código entregado por Forum para aplicar el descuento;;;
RACASISTENCIA;3;CCCC11110007;7;2021-02-08 00:00:00;2021-03-31 00:00:00;PARA QUE NADA TE DETENGA, CON RAC ASISTENCIA TE DAMOS UNA SOLUCIÓN;;PARA QUE NADA TE DETENGA, CON RAC ASISTENCIA TE DAMOS UNA SOLUCIÓN; -Ingresa Al link del servicio que necesites -Ingresa los datos solicitados -Al momento de pagar utiliza el código entregado por Forum para aplicar el descuento;;;
RACASISTENCIA;3;CCCC11110008;7;2021-02-08 00:00:00;2021-03-31 00:00:00;PARA QUE NADA TE DETENGA, CON RAC ASISTENCIA TE DAMOS UNA SOLUCIÓN;;PARA QUE NADA TE DETENGA, CON RAC ASISTENCIA TE DAMOS UNA SOLUCIÓN; -Ingresa Al link del servicio que necesites -Ingresa los datos solicitados -Al momento de pagar utiliza el código entregado por Forum para aplicar el descuento;;;
RACASISTENCIA;3;CCCC11110009;7;2021-02-08 00:00:00;2021-03-31 00:00:00;PARA QUE NADA TE DETENGA, CON RAC ASISTENCIA TE DAMOS UNA SOLUCIÓN;;PARA QUE NADA TE DETENGA, CON RAC ASISTENCIA TE DAMOS UNA SOLUCIÓN; -Ingresa Al link del servicio que necesites -Ingresa los datos solicitados -Al momento de pagar utiliza el código entregado por Forum para aplicar el descuento;;;
RACASISTENCIA;3;CCCC11110010;7;2021-02-08 00:00:00;2021-03-31 00:00:00;PARA QUE NADA TE DETENGA, CON RAC ASISTENCIA TE DAMOS UNA SOLUCIÓN;;PARA QUE NADA TE DETENGA, CON RAC ASISTENCIA TE DAMOS UNA SOLUCIÓN; -Ingresa Al link del servicio que necesites -Ingresa los datos solicitados -Al momento de pagar utiliza el código entregado por Forum para aplicar el descuento;;;
SERVIRUTA;13;SIN_CUPON;7;2021-01-01 00:00:00;2021-12-31 00:00:00;¿PROBLEMAS EN TU CAMINO? ¡SERVIRUTA LOS DESPEJA!;;¿PROBLEMAS EN TU CAMINO? ¡SERVIRUTA LOS DESPEJA!; -Llama al número +56 9 8505 8250 -Indica tu rut al asistente con el que te contactes.;;;
AUTOSTRACKER;11;SIN_CUPON;8;2021-01-01 00:00:00;2021-12-31 00:00:00;DISFRUTAS MÁS, CUANDO VIAJAS CON UN AUTO SEGURO CON FORUM;;DISFRUTAS MÁS, CUANDO VIAJAS CON UN AUTO SEGURO CON FORUM; -Agenda la instalación por WhatsApp +56949487846 -Valida tu rut para hacer efectivo el descuento;¡Lo quiero!;https://www.autostracker.com/#contact;
MAVIGPS;12;SIN_CUPON;8;2021-01-01 00:00:00;2021-12-31 00:00:00;CON MAVIGPS, LO MAS IMPORTANTE SIEMPRE TIENE UBICACIÓN;;CON MAVIGPS, LO MAS IMPORTANTE SIEMPRE TIENE UBICACIÓN; -Pincha el botón y selecciona el servicio que necesites -Agenda la instalación. -Para hacer efectivo el descuento debes validar tu rut.;¡Lo quiero!;;
KIDZANIA;14;SIN_CUPON;10;2021-01-01 00:00:00;2021-12-31 00:00:00;¡LA CASA ES EL MEJOR LUGAR PARA LA AVENTURA CON KIDZANIA!;;¡LA CASA ES EL MEJOR LUGAR PARA LA AVENTURA CON KIDZANIA!; -Pincha el botón, llena el formulario con los datos. -El descuento se alica validando tu Rut.;Me interesa;https://docs.google.com/forms/d/e/1FAIpQLSe5oeNEk0RgF_PZAmd__EvA-0FlkVNWi1ykekVsMzjb64li2A/viewform ;
UBEREATS;4;DDDD11110000;9;2021-02-08 00:00:00;2021-03-31 00:00:00;¿PENSANDO EN TU MENÚ FAVORITO? ¡NOSOTROS PENSAMOS EN DARTE UN DESCUENTO!;;¿PENSANDO EN TU MENÚ FAVORITO? ¡NOSOTROS PENSAMOS EN DARTE UN DESCUENTO!; -Descarga la APP de Uber Eats -Ingresa el código que te entregaremos en Forum -Realiza tu pedido y los 2 primeros tendrán el descuento de $6.000;;;
UBEREATS;4;DDDD11110001;9;2021-02-08 00:00:00;2021-03-31 00:00:00;¿PENSANDO EN TU MENÚ FAVORITO? ¡NOSOTROS PENSAMOS EN DARTE UN DESCUENTO!;;¿PENSANDO EN TU MENÚ FAVORITO? ¡NOSOTROS PENSAMOS EN DARTE UN DESCUENTO!; -Descarga la APP de Uber Eats -Ingresa el código que te entregaremos en Forum -Realiza tu pedido y los 2 primeros tendrán el descuento de $6.000;;;
UBEREATS;4;DDDD11110002;9;2021-02-08 00:00:00;2021-03-31 00:00:00;¿PENSANDO EN TU MENÚ FAVORITO? ¡NOSOTROS PENSAMOS EN DARTE UN DESCUENTO!;;¿PENSANDO EN TU MENÚ FAVORITO? ¡NOSOTROS PENSAMOS EN DARTE UN DESCUENTO!; -Descarga la APP de Uber Eats -Ingresa el código que te entregaremos en Forum -Realiza tu pedido y los 2 primeros tendrán el descuento de $6.000;;;
UBEREATS;4;DDDD11110003;9;2021-02-08 00:00:00;2021-03-31 00:00:00;¿PENSANDO EN TU MENÚ FAVORITO? ¡NOSOTROS PENSAMOS EN DARTE UN DESCUENTO!;;¿PENSANDO EN TU MENÚ FAVORITO? ¡NOSOTROS PENSAMOS EN DARTE UN DESCUENTO!; -Descarga la APP de Uber Eats -Ingresa el código que te entregaremos en Forum -Realiza tu pedido y los 2 primeros tendrán el descuento de $6.000;;;
UBEREATS;4;DDDD11110004;9;2021-02-08 00:00:00;2021-03-31 00:00:00;¿PENSANDO EN TU MENÚ FAVORITO? ¡NOSOTROS PENSAMOS EN DARTE UN DESCUENTO!;;¿PENSANDO EN TU MENÚ FAVORITO? ¡NOSOTROS PENSAMOS EN DARTE UN DESCUENTO!; -Descarga la APP de Uber Eats -Ingresa el código que te entregaremos en Forum -Realiza tu pedido y los 2 primeros tendrán el descuento de $6.000;;;
UBEREATS;4;DDDD11110005;9;2021-02-08 00:00:00;2021-03-31 00:00:00;¿PENSANDO EN TU MENÚ FAVORITO? ¡NOSOTROS PENSAMOS EN DARTE UN DESCUENTO!;;¿PENSANDO EN TU MENÚ FAVORITO? ¡NOSOTROS PENSAMOS EN DARTE UN DESCUENTO!; -Descarga la APP de Uber Eats -Ingresa el código que te entregaremos en Forum -Realiza tu pedido y los 2 primeros tendrán el descuento de $6.000;;;
UBEREATS;4;DDDD11110006;9;2021-02-08 00:00:00;2021-03-31 00:00:00;¿PENSANDO EN TU MENÚ FAVORITO? ¡NOSOTROS PENSAMOS EN DARTE UN DESCUENTO!;;¿PENSANDO EN TU MENÚ FAVORITO? ¡NOSOTROS PENSAMOS EN DARTE UN DESCUENTO!; -Descarga la APP de Uber Eats -Ingresa el código que te entregaremos en Forum -Realiza tu pedido y los 2 primeros tendrán el descuento de $6.000;;;
UBEREATS;4;DDDD11110007;9;2021-02-08 00:00:00;2021-03-31 00:00:00;¿PENSANDO EN TU MENÚ FAVORITO? ¡NOSOTROS PENSAMOS EN DARTE UN DESCUENTO!;;¿PENSANDO EN TU MENÚ FAVORITO? ¡NOSOTROS PENSAMOS EN DARTE UN DESCUENTO!; -Descarga la APP de Uber Eats -Ingresa el código que te entregaremos en Forum -Realiza tu pedido y los 2 primeros tendrán el descuento de $6.000;;;
UBEREATS;4;DDDD11110008;9;2021-02-08 00:00:00;2021-03-31 00:00:00;¿PENSANDO EN TU MENÚ FAVORITO? ¡NOSOTROS PENSAMOS EN DARTE UN DESCUENTO!;;¿PENSANDO EN TU MENÚ FAVORITO? ¡NOSOTROS PENSAMOS EN DARTE UN DESCUENTO!; -Descarga la APP de Uber Eats -Ingresa el código que te entregaremos en Forum -Realiza tu pedido y los 2 primeros tendrán el descuento de $6.000;;;
UBEREATS;4;DDDD11110009;9;2021-02-08 00:00:00;2021-03-31 00:00:00;¿PENSANDO EN TU MENÚ FAVORITO? ¡NOSOTROS PENSAMOS EN DARTE UN DESCUENTO!;;¿PENSANDO EN TU MENÚ FAVORITO? ¡NOSOTROS PENSAMOS EN DARTE UN DESCUENTO!; -Descarga la APP de Uber Eats -Ingresa el código que te entregaremos en Forum -Realiza tu pedido y los 2 primeros tendrán el descuento de $6.000;;;
UBEREATS;4;DDDD11110010;9;2021-02-08 00:00:00;2021-03-31 00:00:00;¿PENSANDO EN TU MENÚ FAVORITO? ¡NOSOTROS PENSAMOS EN DARTE UN DESCUENTO!;;¿PENSANDO EN TU MENÚ FAVORITO? ¡NOSOTROS PENSAMOS EN DARTE UN DESCUENTO!; -Descarga la APP de Uber Eats -Ingresa el código que te entregaremos en Forum -Realiza tu pedido y los 2 primeros tendrán el descuento de $6.000;;;
